"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Scala Editor","Run Scala JUnit Test","Shift+Alt+T R","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"LiClipse Actions","Toggle Mark Occurrences","Shift+Alt+O","LiClipse editor"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Run/Debug","Execute","Ctrl+U","In Windows"
"LiClipse Actions","Rename","Shift+Alt+R","LiClipse editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Scala Editor","Open Implicit","Alt+F3","Editing Scala Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Window","Activate Editor","F12","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Run/Debug","Send Selection to Scala Interpreter","Shift+Ctrl+X","Editing Scala Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Scala Editor","Debug Scala Application","Shift+Alt+D S","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Run/Debug","Debug RWT Application","Shift+Alt+D 3","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Edit","Delete","Delete","In Windows"
"Text Editing","Line End","End","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X G","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Refactor - Scala","Organize Imports","Shift+Ctrl+O","Editing Scala Source"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Search - Scala","Find References of Method","Shift+Ctrl+G","Editing Scala Source"
"View","Zoom In","Ctrl+=","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"LiClipse Actions","Previous Element","Shift+Ctrl+Up","LiClipse editor"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Worksheet commands","Format","Shift+Ctrl+F","Editing Scala Worksheet"
"Scala Editor","Scala Quick Assist","Ctrl+1","Editing Scala Source"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Scala Editor","Show Type","Shift+Ctrl+Q","Editing Scala Source"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Navigate","Open from Clipboard","Shift+Ctrl+V","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
